ref,tipping_point_c_t,attribute,value,type,magnitude
Jin_Yu_2021,0.4775,topology,SQL,,
Jin_Yu_2021,0.5635,topology,SQL,,
Jin_Yu_2021,0.4057,topology,SQL,,
Jin_Yu_2021,0.5126,topology,SQL,,
Jin_Yu_2021,0.4595,topology,SQL,,
Jin_Yu_2021,0.4825,topology,SQL,,
Jin_Yu_2021,0.4907,topology,SQL,,
Jin_Yu_2021,0.505,topology,SQL,,
Jin_Yu_2021,0.4743,topology,SQL,,
Jin_Yu_2021,0.52,topology,SQL,,
Jin_Yu_2021,0.2992,topology,SWN,,
Jin_Yu_2021,0.3665,topology,SWN,,
Jin_Yu_2021,0.2902,topology,SWN,,
Jin_Yu_2021,0.3041,topology,SWN,,
Jin_Yu_2021,0.0892,topology,SWN,,
Jin_Yu_2021,0.1049,topology,SWN,,
Jin_Yu_2021,0.5071,topology,SWN,,
Jin_Yu_2021,0.1861,topology,SWN,,
Jin_Yu_2021,0.4381,topology,SWN,,
Jin_Yu_2021,0.4084,topology,SWN,,
Jin_Yu_2021,0.2028,topology,SWN,,
Jin_Yu_2021,0.2472,topology,SWN,,
Jin_Yu_2021,0.1904,topology,SWN,,
Jin_Yu_2021,0.2077,topology,SWN,,
Jin_Yu_2021,0.266,topology,SWN,,
Jin_Yu_2021,0.2609,topology,SWN,,
Jin_Yu_2021,0.1591,topology,SWN,,
Jin_Yu_2021,0.2049,topology,SWN,,
Jin_Yu_2021,0.3322,topology,SWN,,
Jin_Yu_2021,0.3239,topology,SWN,,
Jin_Yu_2021,0.5323,topology,SWN,,
Jin_Yu_2021,0.469,topology,SWN,,
Jin_Yu_2021,0.439,topology,SWN,,
Jin_Yu_2021,0.3774,topology,SWN,,
Jin_Yu_2021,0.4886,topology,SWN,,
Jin_Yu_2021,0.4654,topology,SWN,,
Jin_Yu_2021,0.4655,topology,SWN,,
Jin_Yu_2021,0.5746,topology,SWN,,
Jin_Yu_2021,0.5412,topology,SWN,,
Jin_Yu_2021,0.4095,topology,SWN,,
Jin_Yu_2021,0.5001,topology,SWN,,
Jin_Yu_2021,0.5529,topology,SWN,,
Jin_Yu_2021,0.4423,topology,SWN,,
Jin_Yu_2021,0.5141,topology,SWN,,
Jin_Yu_2021,0.4429,topology,SWN,,
Jin_Yu_2021,0.4212,topology,SWN,,
Jin_Yu_2021,0.4909,topology,SWN,,
Jin_Yu_2021,0.464,topology,SWN,,
Jin_Yu_2021,0.5595,topology,SWN,,
Andreoni_2021,0.43,,,experimental,1.0
Andreoni_2021,0.43,,,experimental,1.0
Andreoni_2021,0.23,,,experimental,0.97
Andreoni_2021,0.23,,,experimental,1.0
Andreoni_2021,0.23,,,experimental,0.96
Andreoni_2021,0.23,,,experimental,1.0
Andreoni_2021,0.23,,,experimental,1.0
Andreoni_2021,0.4,,,experimental,0.99
Andreoni_2021,0.4,,,experimental,1.0
Andreoni_2021,0.4,,,experimental,1.0
Andreoni_2021,0.3,,,experimental,1.0
Andreoni_2021,0.3,,,experimental,1.0
Andreoni_2021,0.3,,,experimental,1.0
Andreoni_2021,0.3,,,experimental,1.0
Andreoni_2021,0.3,,,experimental,1.0
Andreoni_2021,0.3,,,experimental,1.0
Centola_2018,0.1904761904761904,,,experimental,0.0667
Centola_2018,0.2777777777777778,,,experimental,1.0
Centola_2018,0.2068965517241379,,,experimental,0.08
Centola_2018,0.3076923076923077,,,experimental,1.0
Centola_2018,0.1923076923076923,,,experimental,0.0526
Centola_2018,0.2758620689655172,,,experimental,0.6957
Centola_2018,0.1666666666666666,,,experimental,0.00%
Centola_2018,0.2666666666666666,,,experimental,0.75
Xie et al_2011,0.0103211542595031,topology, complete,modelling,0.025161717265033023
Xie et al_2011,0.0103211542595031,N,1000,modelling,0.025161717265033023
Xie et al_2011,0.0103211542595031,k,999,modelling,0.025161717265033023
Xie et al_2011,0.012381265541669,topology, complete,modelling,0.029069723788283985
Xie et al_2011,0.012381265541669,N,1000,modelling,0.029069723788283985
Xie et al_2011,0.012381265541669,k,999,modelling,0.029069723788283985
Xie et al_2011,0.0144416059988252,topology, complete,modelling,0.0337454665292678
Xie et al_2011,0.0144416059988252,N,1000,modelling,0.0337454665292678
Xie et al_2011,0.0144416059988252,k,999,modelling,0.0337454665292678
Xie et al_2011,0.0165019464559814,topology, complete,modelling,0.03842120927025161
Xie et al_2011,0.0165019464559814,N,1000,modelling,0.03842120927025161
Xie et al_2011,0.0165019464559814,k,999,modelling,0.03842120927025161
Xie et al_2011,0.0185622582662639,topology, complete,modelling,0.04300098498401883
Xie et al_2011,0.0185622582662639,N,1000,modelling,0.04300098498401883
Xie et al_2011,0.0185622582662639,k,999,modelling,0.04300098498401883
Xie et al_2011,0.0206226273702939,topology, complete,modelling,0.047772694752219236
Xie et al_2011,0.0206226273702939,N,1000,modelling,0.047772694752219236
Xie et al_2011,0.0206226273702939,k,999,modelling,0.047772694752219236
Xie et al_2011,0.0226829678274501,topology, complete,modelling,0.05244843749320316
Xie et al_2011,0.0226829678274501,N,1000,modelling,0.05244843749320316
Xie et al_2011,0.0226829678274501,k,999,modelling,0.05244843749320316
Xie et al_2011,0.0247432509908588,topology, complete,modelling,0.05693224617975401
Xie et al_2011,0.0247432509908588,N,1000,modelling,0.05693224617975401
Xie et al_2011,0.0247432509908588,k,999,modelling,0.05693224617975401
Xie et al_2011,0.026803591448015,topology, complete,modelling,0.0616079889207376
Xie et al_2011,0.026803591448015,N,1000,modelling,0.0616079889207376
Xie et al_2011,0.026803591448015,k,999,modelling,0.0616079889207376
Xie et al_2011,0.0288639891989188,topology, complete,modelling,0.06647566571615482
Xie et al_2011,0.0288639891989188,N,1000,modelling,0.06647566571615482
Xie et al_2011,0.0288639891989188,k,999,modelling,0.06647566571615482
Xie et al_2011,0.0309243583029489,topology, complete,modelling,0.07124737548435522
Xie et al_2011,0.0309243583029489,N,1000,modelling,0.07124737548435522
Xie et al_2011,0.0309243583029489,k,999,modelling,0.07124737548435522
Xie et al_2011,0.0329848133476003,topology, complete,modelling,0.07630698633420563
Xie et al_2011,0.0329848133476003,N,1000,modelling,0.07630698633420563
Xie et al_2011,0.0329848133476003,k,999,modelling,0.07630698633420563
Xie et al_2011,0.0350452970391255,topology, complete,modelling,0.0814625642112724
Xie et al_2011,0.0350452970391255,N,1000,modelling,0.0814625642112724
Xie et al_2011,0.0350452970391255,k,999,modelling,0.0814625642112724
Xie et al_2011,0.0371057807306507,topology, complete,modelling,0.0866181420883394
Xie et al_2011,0.0371057807306507,N,1000,modelling,0.0866181420883394
Xie et al_2011,0.0371057807306507,k,999,modelling,0.0866181420883394
Xie et al_2011,0.0391661784815545,topology, complete,modelling,0.0914858188837564
Xie et al_2011,0.0391661784815545,N,1000,modelling,0.0914858188837564
Xie et al_2011,0.0391661784815545,k,999,modelling,0.0914858188837564
Xie et al_2011,0.0412267767605749,topology, complete,modelling,0.09702526486968999
Xie et al_2011,0.0412267767605749,N,1000,modelling,0.09702526486968999
Xie et al_2011,0.0412267767605749,k,999,modelling,0.09702526486968999
Xie et al_2011,0.0432872031583525,topology, complete,modelling,0.10198890869232358
Xie et al_2011,0.0432872031583525,N,1000,modelling,0.10198890869232358
Xie et al_2011,0.0432872031583525,k,999,modelling,0.10198890869232358
Xie et al_2011,0.045347658203004,topology, complete,modelling,0.10704851954217387
Xie et al_2011,0.045347658203004,N,1000,modelling,0.10704851954217387
Xie et al_2011,0.045347658203004,k,999,modelling,0.10704851954217387
Xie et al_2011,0.047408170541403,topology, complete,modelling,0.11230006444645735
Xie et al_2011,0.047408170541403,N,1000,modelling,0.11230006444645735
Xie et al_2011,0.047408170541403,k,999,modelling,0.11230006444645735
Xie et al_2011,0.0494687401735496,topology, complete,modelling,0.11774354340517412
Xie et al_2011,0.0494687401735496,N,1000,modelling,0.11774354340517412
Xie et al_2011,0.0494687401735496,k,999,modelling,0.11774354340517412
Xie et al_2011,0.0515292238650748,topology, complete,modelling,0.12289912128224112
Xie et al_2011,0.0515292238650748,N,1000,modelling,0.12289912128224112
Xie et al_2011,0.0515292238650748,k,999,modelling,0.12289912128224112
Xie et al_2011,0.0535899653784641,topology, complete,modelling,0.12891840240425756
Xie et al_2011,0.0535899653784641,N,1000,modelling,0.12891840240425756
Xie et al_2011,0.0535899653784641,k,999,modelling,0.12891840240425756
Xie et al_2011,0.0556506495981059,topology, complete,modelling,0.13474574947184081
Xie et al_2011,0.0556506495981059,N,1000,modelling,0.13474574947184081
Xie et al_2011,0.0556506495981059,k,999,modelling,0.13474574947184081
Xie et al_2011,0.0577113338177477,topology, complete,modelling,0.14057309653942407
Xie et al_2011,0.0577113338177477,N,1000,modelling,0.14057309653942407
Xie et al_2011,0.0577113338177477,k,999,modelling,0.14057309653942407
Xie et al_2011,0.0597722185655061,topology, complete,modelling,0.14707221279752358
Xie et al_2011,0.0597722185655061,N,1000,modelling,0.14707221279752358
Xie et al_2011,0.0597722185655061,k,999,modelling,0.14707221279752358
Xie et al_2011,0.061833160607012,topology, complete,modelling,0.15376326311005628
Xie et al_2011,0.061833160607012,N,1000,modelling,0.15376326311005628
Xie et al_2011,0.061833160607012,k,999,modelling,0.15376326311005628
Xie et al_2011,0.0638935870047896,topology, complete,modelling,0.15872690693268998
Xie et al_2011,0.0638935870047896,N,1000,modelling,0.15872690693268998
Xie et al_2011,0.0638935870047896,k,999,modelling,0.15872690693268998
Xie et al_2011,0.0659544144588004,topology, complete,modelling,0.1650340891363563
Xie et al_2011,0.0659544144588004,N,1000,modelling,0.1650340891363563
Xie et al_2011,0.0659544144588004,k,999,modelling,0.1650340891363563
Xie et al_2011,0.0680154137940539,topology, complete,modelling,0.1719170735033223
Xie et al_2011,0.0680154137940539,N,1000,modelling,0.1719170735033223
Xie et al_2011,0.0680154137940539,k,999,modelling,0.1719170735033223
Xie et al_2011,0.0700765563636765,topology, complete,modelling,0.17927989300637137
Xie et al_2011,0.0700765563636765,N,1000,modelling,0.17927989300637137
Xie et al_2011,0.0700765563636765,k,999,modelling,0.17927989300637137
Xie et al_2011,0.0721372119364445,topology, complete,modelling,0.18501127304673792
Xie et al_2011,0.0721372119364445,N,1000,modelling,0.18501127304673792
Xie et al_2011,0.0721372119364445,k,999,modelling,0.18501127304673792
Xie et al_2011,0.0741985407107466,topology, complete,modelling,0.192997878226695
Xie et al_2011,0.0741985407107466,N,1000,modelling,0.192997878226695
Xie et al_2011,0.0741985407107466,k,999,modelling,0.192997878226695
Xie et al_2011,0.0761658962802484,topology, complete,modelling,0.19969537408583193
Xie et al_2011,0.0761658962802484,N,1000,modelling,0.19969537408583193
Xie et al_2011,0.0761658962802484,k,999,modelling,0.19969537408583193
Xie et al_2011,0.0780727168675375,topology, complete,modelling,0.2126147640393724
Xie et al_2011,0.0780727168675375,N,1000,modelling,0.2126147640393724
Xie et al_2011,0.0780727168675375,k,999,modelling,0.2126147640393724
Xie et al_2011,0.0801954056540177,topology, complete,modelling,0.21714332550876436
Xie et al_2011,0.0801954056540177,N,1000,modelling,0.21714332550876436
Xie et al_2011,0.0801954056540177,k,999,modelling,0.21714332550876436
Xie et al_2011,0.0822569206329996,topology, complete,modelling,0.22575371636562935
Xie et al_2011,0.0822569206329996,N,1000,modelling,0.22575371636562935
Xie et al_2011,0.0822569206329996,k,999,modelling,0.22575371636562935
Xie et al_2011,0.0833562403225107,topology, complete,modelling,0.23579861988988204
Xie et al_2011,0.0833562403225107,N,1000,modelling,0.23579861988988204
Xie et al_2011,0.0833562403225107,k,999,modelling,0.23579861988988204
Xie et al_2011,0.0852556180882178,topology, complete,modelling,0.23871413500841776
Xie et al_2011,0.0852556180882178,N,1000,modelling,0.23871413500841776
Xie et al_2011,0.0852556180882178,k,999,modelling,0.23871413500841776
Xie et al_2011,0.0873174481828114,topology, complete,modelling,0.2483801631646656
Xie et al_2011,0.0873174481828114,N,1000,modelling,0.2483801631646656
Xie et al_2011,0.0873174481828114,k,999,modelling,0.2483801631646656
Xie et al_2011,0.0884174922289885,topology, complete,modelling,0.26085166151996697
Xie et al_2011,0.0884174922289885,N,1000,modelling,0.26085166151996697
Xie et al_2011,0.0884174922289885,k,999,modelling,0.26085166151996697
Xie et al_2011,0.0903176925692145,topology, complete,modelling,0.2665228012771511
Xie et al_2011,0.0903176925692145,N,1000,modelling,0.2665228012771511
Xie et al_2011,0.0903176925692145,k,999,modelling,0.2665228012771511
Xie et al_2011,0.0923814324553945,topology, complete,modelling,0.28258663124784
Xie et al_2011,0.0923814324553945,N,1000,modelling,0.28258663124784
Xie et al_2011,0.0923814324553945,k,999,modelling,0.28258663124784
Xie et al_2011,0.0942573698029399,topology, complete,modelling,0.2965542103135763
Xie et al_2011,0.0942573698029399,N,1000,modelling,0.2965542103135763
Xie et al_2011,0.0942573698029399,k,999,modelling,0.2965542103135763
Xie et al_2011,0.0952041521648838,topology, complete,modelling,0.33306385522008974
Xie et al_2011,0.0952041521648838,N,1000,modelling,0.33306385522008974
Xie et al_2011,0.0952041521648838,k,999,modelling,0.33306385522008974
Xie et al_2011,0.0954003641524706,topology, complete,modelling,0.36333176011463064
Xie et al_2011,0.0954003641524706,N,1000,modelling,0.36333176011463064
Xie et al_2011,0.0954003641524706,k,999,modelling,0.36333176011463064
Xie et al_2011,0.0955969962942064,topology, complete,modelling,0.3950071814083487
Xie et al_2011,0.0955969962942064,N,1000,modelling,0.3950071814083487
Xie et al_2011,0.0955969962942064,k,999,modelling,0.3950071814083487
Xie et al_2011,0.0957904772798246,topology, complete,modelling,0.4161262297082391
Xie et al_2011,0.0957904772798246,N,1000,modelling,0.4161262297082391
Xie et al_2011,0.0957904772798246,k,999,modelling,0.4161262297082391
Xie et al_2011,0.0959871094215604,topology, complete,modelling,0.4478016510019571
Xie et al_2011,0.0959871094215604,N,1000,modelling,0.4478016510019571
Xie et al_2011,0.0959871094215604,k,999,modelling,0.4478016510019571
Xie et al_2011,0.0961805904071786,topology, complete,modelling,0.46892069930184765
Xie et al_2011,0.0961805904071786,N,1000,modelling,0.46892069930184765
Xie et al_2011,0.0961805904071786,k,999,modelling,0.46892069930184765
Xie et al_2011,0.0963772225489144,topology, complete,modelling,0.5005961205955657
Xie et al_2011,0.0963772225489144,N,1000,modelling,0.5005961205955657
Xie et al_2011,0.0963772225489144,k,999,modelling,0.5005961205955657
Xie et al_2011,0.0965707035345326,topology, complete,modelling,0.521715168895456
Xie et al_2011,0.0965707035345326,N,1000,modelling,0.521715168895456
Xie et al_2011,0.0965707035345326,k,999,modelling,0.521715168895456
Xie et al_2011,0.0967654449825978,topology, complete,modelling,0.5470567663928776
Xie et al_2011,0.0967654449825978,N,1000,modelling,0.5470567663928776
Xie et al_2011,0.0967654449825978,k,999,modelling,0.5470567663928776
Xie et al_2011,0.0969608166618866,topology, complete,modelling,0.5745096384890647
Xie et al_2011,0.0969608166618866,N,1000,modelling,0.5745096384890647
Xie et al_2011,0.0969608166618866,k,999,modelling,0.5745096384890647
Xie et al_2011,0.0971555581099518,topology, complete,modelling,0.599851235986486
Xie et al_2011,0.0971555581099518,N,1000,modelling,0.599851235986486
Xie et al_2011,0.0971555581099518,k,999,modelling,0.599851235986486
Xie et al_2011,0.0973509297892405,topology, complete,modelling,0.627304108082673
Xie et al_2011,0.0973509297892405,N,1000,modelling,0.627304108082673
Xie et al_2011,0.0973509297892405,k,999,modelling,0.627304108082673
Xie et al_2011,0.0975456712373058,topology, complete,modelling,0.6526457055800945
Xie et al_2011,0.0975456712373058,N,1000,modelling,0.6526457055800945
Xie et al_2011,0.0975456712373058,k,999,modelling,0.6526457055800945
Xie et al_2011,0.0977410429165945,topology, complete,modelling,0.6800985776762813
Xie et al_2011,0.0977410429165945,N,1000,modelling,0.6800985776762813
Xie et al_2011,0.0977410429165945,k,999,modelling,0.6800985776762813
Xie et al_2011,0.0979357843646598,topology, complete,modelling,0.7054401751737029
Xie et al_2011,0.0979357843646598,N,1000,modelling,0.7054401751737029
Xie et al_2011,0.0979357843646598,k,999,modelling,0.7054401751737029
Xie et al_2011,0.0981324165063955,topology, complete,modelling,0.737115596467421
Xie et al_2011,0.0981324165063955,N,1000,modelling,0.737115596467421
Xie et al_2011,0.0981324165063955,k,999,modelling,0.737115596467421
Xie et al_2011,0.0983258974920138,topology, complete,modelling,0.7582346447673113
Xie et al_2011,0.0983258974920138,N,1000,modelling,0.7582346447673113
Xie et al_2011,0.0983258974920138,k,999,modelling,0.7582346447673113
Xie et al_2011,0.0985225296337495,topology, complete,modelling,0.7899100660610294
Xie et al_2011,0.0985225296337495,N,1000,modelling,0.7899100660610294
Xie et al_2011,0.0985225296337495,k,999,modelling,0.7899100660610294
Xie et al_2011,0.0987160106193678,topology, complete,modelling,0.8110291143609198
Xie et al_2011,0.0987160106193678,N,1000,modelling,0.8110291143609198
Xie et al_2011,0.0987160106193678,k,999,modelling,0.8110291143609198
Xie et al_2011,0.0998124028712043,topology, complete,modelling,1.0003750828959794
Xie et al_2011,0.0998124028712043,N,1000,modelling,1.0003750828959794
Xie et al_2011,0.0998124028712043,k,999,modelling,1.0003750828959794
Xie et al_2011,0.0989126427611035,topology, complete,modelling,0.8427045356546379
Xie et al_2011,0.0989126427611035,N,1000,modelling,0.8427045356546379
Xie et al_2011,0.0989126427611035,k,999,modelling,0.8427045356546379
Xie et al_2011,0.0991061237467217,topology, complete,modelling,0.8638235839545282
Xie et al_2011,0.0991061237467217,N,1000,modelling,0.8638235839545282
Xie et al_2011,0.0991061237467217,k,999,modelling,0.8638235839545282
Xie et al_2011,0.0993027558884575,topology, complete,modelling,0.8954990052482464
Xie et al_2011,0.0993027558884575,N,1000,modelling,0.8954990052482464
Xie et al_2011,0.0993027558884575,k,999,modelling,0.8954990052482464
Xie et al_2011,0.0994962368740757,topology, complete,modelling,0.9166180535481367
Xie et al_2011,0.0994962368740757,N,1000,modelling,0.9166180535481367
Xie et al_2011,0.0994962368740757,k,999,modelling,0.9166180535481367
Xie et al_2011,0.0996928690158115,topology, complete,modelling,0.9482934748418547
Xie et al_2011,0.0996928690158115,N,1000,modelling,0.9482934748418547
Xie et al_2011,0.0996928690158115,k,999,modelling,0.9482934748418547
Xie et al_2011,0.0998863500014297,topology, complete,modelling,0.9694125231417452
Xie et al_2011,0.0998863500014297,N,1000,modelling,0.9694125231417452
Xie et al_2011,0.0998863500014297,k,999,modelling,0.9694125231417452
Xie et al_2011,0.1017679053192251,topology, complete,modelling,1.0022003025449622
Xie et al_2011,0.1017679053192251,N,1000,modelling,1.0022003025449622
Xie et al_2011,0.1017679053192251,k,999,modelling,1.0022003025449622
Xie et al_2011,0.1038268707264391,topology, complete,modelling,1.0022696279795484
Xie et al_2011,0.1038268707264391,N,1000,modelling,1.0022696279795484
Xie et al_2011,0.1038268707264391,k,999,modelling,1.0022696279795484
Xie et al_2011,0.1058858361336531,topology, complete,modelling,1.002338953414135
Xie et al_2011,0.1058858361336531,N,1000,modelling,1.002338953414135
Xie et al_2011,0.1058858361336531,k,999,modelling,1.002338953414135
Xie et al_2011,0.107944830187741,topology, complete,modelling,1.0025042458759377
Xie et al_2011,0.107944830187741,N,1000,modelling,1.0025042458759377
Xie et al_2011,0.107944830187741,k,999,modelling,1.0025042458759377
Xie et al_2011,0.1099101776113896,topology, complete,modelling,1.0024744531271899
Xie et al_2011,0.1099101776113896,N,1000,modelling,1.0024744531271899
Xie et al_2011,0.1099101776113896,k,999,modelling,1.0024744531271899
Xie et al_2011,0.0099399593306975,topology,complete,modelling,0.026823455889367964
Xie et al_2011,0.0099399593306975,N,1000,modelling,0.026823455889367964
Xie et al_2011,0.0099399593306975,k,10,modelling,0.026823455889367964
Xie et al_2011,0.0196629260874962,topology,complete,modelling,0.05399838074463681
Xie et al_2011,0.0196629260874962,N,1000,modelling,0.05399838074463681
Xie et al_2011,0.0196629260874962,k,10,modelling,0.05399838074463681
Xie et al_2011,0.0301204789129802,topology,complete,modelling,0.07898895935207362
Xie et al_2011,0.0301204789129802,N,1000,modelling,0.07898895935207362
Xie et al_2011,0.0301204789129802,k,10,modelling,0.07898895935207362
Xie et al_2011,0.0399518406200099,topology,complete,modelling,0.11130546376817196
Xie et al_2011,0.0399518406200099,N,1000,modelling,0.11130546376817196
Xie et al_2011,0.0399518406200099,k,10,modelling,0.11130546376817196
Xie et al_2011,0.0495126726303371,topology,complete,modelling,0.14546828988221883
Xie et al_2011,0.0495126726303371,N,1000,modelling,0.14546828988221883
Xie et al_2011,0.0495126726303371,k,10,modelling,0.14546828988221883
Xie et al_2011,0.0598776962259937,topology,complete,modelling,0.18995181938382188
Xie et al_2011,0.0598776962259937,N,1000,modelling,0.18995181938382188
Xie et al_2011,0.0598776962259937,k,10,modelling,0.18995181938382188
Xie et al_2011,0.0624509587098718,topology,complete,modelling,0.209266628455414
Xie et al_2011,0.0624509587098718,N,1000,modelling,0.209266628455414
Xie et al_2011,0.0624509587098718,k,10,modelling,0.209266628455414
Xie et al_2011,0.0653080936549312,topology,complete,modelling,0.21679263896069223
Xie et al_2011,0.0653080936549312,N,1000,modelling,0.21679263896069223
Xie et al_2011,0.0653080936549312,k,10,modelling,0.21679263896069223
Xie et al_2011,0.068065756182389,topology,complete,modelling,0.24485534544394105
Xie et al_2011,0.068065756182389,N,1000,modelling,0.24485534544394105
Xie et al_2011,0.068065756182389,k,10,modelling,0.24485534544394105
Xie et al_2011,0.0704956285963095,topology,complete,modelling,0.255208925942477
Xie et al_2011,0.0704956285963095,N,1000,modelling,0.255208925942477
Xie et al_2011,0.0704956285963095,k,10,modelling,0.255208925942477
Xie et al_2011,0.0723185778683443,topology,complete,modelling,0.27235958647111025
Xie et al_2011,0.0723185778683443,N,1000,modelling,0.27235958647111025
Xie et al_2011,0.0723185778683443,k,10,modelling,0.27235958647111025
Xie et al_2011,0.0745419331341674,topology,complete,modelling,0.3067351671357361
Xie et al_2011,0.0745419331341674,N,1000,modelling,0.3067351671357361
Xie et al_2011,0.0745419331341674,k,10,modelling,0.3067351671357361
Xie et al_2011,0.0770722332512127,topology,complete,modelling,0.3223106973396762
Xie et al_2011,0.0770722332512127,N,1000,modelling,0.3223106973396762
Xie et al_2011,0.0770722332512127,k,10,modelling,0.3223106973396762
Xie et al_2011,0.0778433800733318,topology,complete,modelling,0.34526616479204164
Xie et al_2011,0.0778433800733318,N,1000,modelling,0.34526616479204164
Xie et al_2011,0.0778433800733318,k,10,modelling,0.34526616479204164
Xie et al_2011,0.0802127533247968,topology,complete,modelling,0.35005377293556805
Xie et al_2011,0.0802127533247968,N,1000,modelling,0.35005377293556805
Xie et al_2011,0.0802127533247968,k,10,modelling,0.35005377293556805
Xie et al_2011,0.0822516491369563,topology,complete,modelling,0.41394289291227204
Xie et al_2011,0.0822516491369563,N,1000,modelling,0.41394289291227204
Xie et al_2011,0.0822516491369563,k,10,modelling,0.41394289291227204
Xie et al_2011,0.0846036448297912,topology,complete,modelling,0.4482385890580166
Xie et al_2011,0.0846036448297912,N,1000,modelling,0.4482385890580166
Xie et al_2011,0.0846036448297912,k,10,modelling,0.4482385890580166
Xie et al_2011,0.0873473552230425,topology,complete,modelling,0.5534666045262178
Xie et al_2011,0.0873473552230425,N,1000,modelling,0.5534666045262178
Xie et al_2011,0.0873473552230425,k,10,modelling,0.5534666045262178
Xie et al_2011,0.0898138455637686,topology,complete,modelling,0.5596387282087814
Xie et al_2011,0.0898138455637686,N,1000,modelling,0.5596387282087814
Xie et al_2011,0.0898138455637686,k,10,modelling,0.5596387282087814
Xie et al_2011,0.0921960495602172,topology,complete,modelling,0.6912051619908302
Xie et al_2011,0.0921960495602172,N,1000,modelling,0.6912051619908302
Xie et al_2011,0.0921960495602172,k,10,modelling,0.6912051619908302
Xie et al_2011,0.0948424640388583,topology,complete,modelling,0.8799366710869787
Xie et al_2011,0.0948424640388583,N,1000,modelling,0.8799366710869787
Xie et al_2011,0.0948424640388583,k,10,modelling,0.8799366710869787
Xie et al_2011,0.0972112595291142,topology,complete,modelling,0.9683277149282727
Xie et al_2011,0.0972112595291142,N,1000,modelling,0.9683277149282727
Xie et al_2011,0.0972112595291142,k,10,modelling,0.9683277149282727
Xie et al_2011,0.0991312786697938,topology,complete,modelling,1.0004460984887238
Xie et al_2011,0.0991312786697938,N,1000,modelling,1.0004460984887238
Xie et al_2011,0.0991312786697938,k,10,modelling,1.0004460984887238
Xie et al_2011,0.0994230154459781,topology,complete,modelling,0.9478476711203435
Xie et al_2011,0.0994230154459781,N,1000,modelling,0.9478476711203435
Xie et al_2011,0.0994230154459781,k,10,modelling,0.9478476711203435
Xie et al_2011,0.1018500894939585,topology,complete,modelling,1.007461304285861
Xie et al_2011,0.1018500894939585,N,1000,modelling,1.007461304285861
Xie et al_2011,0.1018500894939585,k,10,modelling,1.007461304285861
Xie et al_2011,0.104657007291277,topology,complete,modelling,1.003589742502153
Xie et al_2011,0.104657007291277,N,1000,modelling,1.003589742502153
Xie et al_2011,0.104657007291277,k,10,modelling,1.003589742502153
Xie et al_2011,0.1073029594152312,topology,complete,modelling,1.0056608447926476
Xie et al_2011,0.1073029594152312,N,1000,modelling,1.0056608447926476
